number,num_pol,cost,age,older,car,output
423893531,2,757.5,73,19,1,1
487018410,1,759,75,5,0,0
317473630,1,760,47,19,0,0
93179831,2,760,75,75,1,0
3114878051,2,760.5,28,11,1,0
600768171,2,760.5,79,15,1,1
501440961,7,760.8571429,71,30,1,0
223243051,2,763.5,54,32,1,1
3049343341,2,765.5,31,33,1,0
559852201,2,766,62,52,1,0
336736091,3,766.6666667,45,0,1,1
435673381,2,767,86,10,1,0
215288230,1,769,37,5,0,0
94429221,13,769.1538462,73,88,1,0
395109461,2,770,38,14,1,0
595018901,2,770,56,15,1,1
172146771,4,772,62,28,1,0
347772841,2,773,44,35,1,0
257847451,2,774,48,16,1,0
627359561,2,774,72,2,1,0
220741321,2,774.5,56,11,1,0
556604430,2,776.5,63,16,0,0
93410900,2,776.5,79,20,0,0
317473631,2,777,47,14,1,0
2054040801,2,781.5,27,13,1,0
540358860,2,781.5,66,9,0,0
126022980,1,783,52,11,0,1
255696900,2,784,48,14,0,0
60023561,2,784.5,79,3,1,1
97089591,2,784.5,74,0,1,0
529748051,2,785.5,40,19,1,0
2077538561,2,786,24,13,1,0
365308551,2,786,37,3,1,1
2091061451,1,787,22,13,1,1
360387501,8,788.375,42,56,1,0
406203951,2,789.5,41,28,1,0
513989721,2,789.5,68,9,1,1
645971070,2,789.5,71,30,0,0
345086711,3,790.6666667,44,11,1,0
553000571,4,791.75,64,13,1,0
3003926931,2,793,35,7,1,0
521798011,2,793,68,55,1,0
535859231,11,793.9090909,67,40,1,0
345087130,2,795,44,35,0,1
504811421,2,795.5,71,44,1,0
126022981,4,796,52,50,1,0
292830581,2,797.5,49,31,1,0
314257211,3,798.3333333,44,5,1,0
450426110,1,799,84,1,0,1
519794901,4,799,68,76,1,0
2013492551,2,800,33,12,1,1
516488480,5,802.4,69,79,0,1
380564460,2,802.5,36,7,0,0
547016441,6,803.3333333,65,62,1,0
93533680,1,804,74,15,0,0
92549131,2,804.5,82,42,1,0
249923490,1,805,52,19,0,0
534401370,1,805,66,10,0,0
145073960,1,806,58,11,0,0
296771841,3,807,49,44,1,0
533357901,2,808.5,66,29,1,0
266670970,1,809,41,19,0,1
440804300,1,810,79,3,0,0
511458291,2,813.5,69,26,1,0
363170140,3,816.6666667,42,9,0,0
547939061,2,820,63,0,1,0
528440401,4,822.25,67,30,1,1
228430230,1,823,55,2,0,1
289189360,1,823,50,17,0,0
221234591,4,823.75,56,31,1,0
